minute,x,y,distance_to_goal,angle_to_goal,body_part,shot_type,under_pressure,is_goal
2,111.5,52.9,15.448624534242521,0.2694896353423857,Right Foot,Open Play,False,0
5,113.9,26.4,14.905368160498417,0.21070233581451303,Left Foot,Open Play,False,0
15,93.7,34.7,26.828715958837833,0.2660750918495076,Left Foot,Open Play,False,0
16,109.2,39.1,10.837435120913064,0.6497160417770149,Head,Open Play,True,0
18,107.8,24.7,19.568597292601225,0.23711990372954184,Right Foot,Open Play,False,0
30,108.6,27.8,16.69730517179344,0.3046315445227544,Left Foot,Open Play,False,0
35,112.5,41.7,7.6902535718921525,0.8761182524894626,Head,Open Play,False,0
37,96.5,52.6,26.66477076593759,0.24176028703482255,Left Foot,Free Kick,False,0
37,112.4,41.0,7.665507158694714,0.886713107262654,Head,Open Play,True,0
38,102.5,30.1,20.106217943710845,0.31670374991758865,Right Foot,Open Play,False,0
40,110.0,27.7,15.852129194527782,0.29850554818097674,Right Foot,Open Play,False,0
43,106.1,32.6,15.74706321826391,0.4092634288936394,Right Foot,Open Play,False,0
47,116.5,31.2,9.470480452437458,0.3239729196511888,Left Foot,Open Play,False,0
51,105.6,23.9,21.600231480241135,0.2285355865869605,Left Foot,Open Play,False,0
53,110.3,25.3,17.611927776367924,0.23483039232103187,Right Foot,Open Play,False,0
54,94.9,26.3,28.595454184188082,0.22458236577151108,Right Foot,Open Play,False,0
55,106.7,26.5,18.95098942008042,0.27447669669863706,Left Foot,Open Play,False,0
57,100.0,57.4,26.50962089506374,0.20926056547935767,Left Foot,Open Play,False,0
60,100.0,27.6,23.532105728132365,0.26457684299642037,Right Foot,Open Play,False,0
63,97.8,45.4,22.847319317591726,0.3092580543238175,Left Foot,Free Kick,False,1
65,106.3,47.0,15.384732691860464,0.42211449413429647,Left Foot,Open Play,False,0
68,88.5,41.2,31.522848856028226,0.23101574960538673,Right Foot,Open Play,False,0
72,108.4,30.2,15.185519418182569,0.37266417504432864,Left Foot,Open Play,False,0
78,114.5,32.8,9.060353193998568,0.5301168397295182,Right Foot,Open Play,False,0
81,113.2,31.4,10.963576058932595,0.43611918702157726,Right Foot,Open Play,False,0
82,105.3,33.4,16.113658802394944,0.41195941554362825,Right Foot,Open Play,False,1
89,106.6,46.8,15.026643005009472,0.4326219982583154,Left Foot,Open Play,False,0
91,111.5,36.2,9.310746479203479,0.7038581544394718,Left Foot,Open Play,False,1
4,119.2,27.8,12.226201372462338,0.043005586011288344,Right Foot,Open Play,False,0
6,105.7,21.6,23.303433223454434,0.19511640705229993,Left Foot,Open Play,False,0
13,88.9,46.8,31.834729463276418,0.22382544250464326,Right Foot,Open Play,False,0
14,92.0,28.6,30.231771367222265,0.223778848790531,Right Foot,Open Play,False,0
21,98.8,35.4,21.693316943243147,0.3272178927078053,Right Foot,Open Play,False,0
32,112.7,31.2,11.433722053644647,0.4273489963167426,Right Foot,Open Play,True,0
34,100.6,28.5,22.552383466055208,0.27926677875488387,Right Foot,Open Play,False,0
36,107.2,48.6,15.420765220960988,0.39552815047934353,Right Foot,Open Play,True,0
42,94.9,38.6,25.139013504909055,0.28872511596734574,Left Foot,Free Kick,False,0
46,105.8,21.3,23.48041737278109,0.19087564376068455,Right Foot,Open Play,False,0
48,109.5,23.2,19.81136037731887,0.20003486596705589,Right Foot,Open Play,False,0
56,111.9,49.0,12.108261642366335,0.4187607833175383,Right Foot,Open Play,False,1
69,96.1,28.3,26.610148440021906,0.24670107297850502,Right Foot,Open Play,False,0
76,112.0,41.8,8.2,0.8273256721654609,Head,Open Play,False,0
80,109.2,36.8,11.264102272262978,0.6084568542498403,Head,Open Play,False,0
81,111.5,39.1,8.54751425854324,0.8063625000207126,Head,Open Play,True,0
88,108.4,27.6,16.979988221432894,0.2995614645885135,Left Foot,Open Play,False,0
89,91.8,50.2,29.987997599039524,0.2289296368352639,Right Foot,Open Play,False,0
2,113.8,35.6,7.602631123499287,0.7963078258421998,Head,Open Play,False,0
2,115.4,36.6,5.720139858430031,1.0497882433875416,Right Foot,Open Play,False,1
15,110.2,50.8,14.58355237930731,0.34552722103238764,Right Foot,Open Play,False,1
18,110.4,23.9,18.744865963777922,0.20500024558224117,Left Foot,Open Play,False,0
18,89.8,48.6,31.400636936215168,0.22349375470118946,Right Foot,Open Play,False,0
19,103.2,58.6,25.063918289046505,0.1974192070338907,Right Foot,Open Play,False,0
20,111.5,34.6,10.070253224224304,0.6153616947844567,Head,Open Play,True,0
22,95.0,35.6,25.38424708357528,0.28228713393748905,Left Foot,Open Play,False,0
23,96.4,39.7,23.60190670263739,0.30767032624146173,Right Foot,Open Play,False,0
27,116.9,51.9,12.297154142320894,0.1631803131785956,Right Foot,Open Play,False,0
28,103.2,52.2,20.7624661348309,0.286332693195545,Left Foot,Open Play,False,0
31,101.6,36.4,18.748866632412753,0.3790733154065765,Right Foot,Open Play,False,0
34,88.6,47.1,32.192701036104445,0.22101552830685867,Left Foot,Free Kick,False,0
38,117.4,34.1,6.447480127925944,0.5940977810771473,Head,Open Play,True,0
38,117.3,32.5,7.971198153351854,0.37544595519207036,Right Foot,Open Play,False,0
38,114.0,35.0,7.810249675906654,0.7451639559765012,Right Foot,Open Play,False,1
41,115.8,42.5,4.887739763939978,1.2418500832485215,Left Foot,Open Play,False,1
43,112.8,27.9,14.080127840328725,0.2777417011888311,Right Foot,Open Play,False,0
44,93.3,42.5,26.81678578800972,0.27016252927495704,Right Foot,Open Play,False,0
46,117.6,49.4,9.701546268507922,0.21428799121083553,Left Foot,Open Play,False,0
47,90.9,30.6,30.580549373744084,0.22710250583749464,Left Foot,Open Play,False,0
47,108.9,29.3,15.417522498767429,0.3475370643019311,Left Foot,Open Play,False,1
50,112.3,28.0,14.257980221616245,0.2885346099517264,Right Foot,Open Play,False,0
51,108.3,55.4,19.340372281835737,0.23314982648838178,Right Foot,Open Play,False,1
53,110.7,44.9,10.511898020814316,0.6114369459380745,Left Foot,Open Play,False,0
56,106.9,35.2,13.951702405083036,0.4866138618085031,Right Foot,Open Play,False,0
59,96.6,33.2,24.368011818775866,0.28697223882096967,Right Foot,Open Play,False,0
59,113.9,37.5,6.592419889539799,0.9782122527839369,Head,Open Play,True,0
60,103.4,35.2,17.28004629623427,0.4027616451948608,Left Foot,Open Play,False,1
63,91.4,41.6,28.64472028140613,0.2537873139583582,Right Foot,Open Play,False,0
72,92.5,58.3,33.032408328791284,0.18465132684080104,Right Foot,Open Play,False,0
77,96.5,49.4,25.31027459353217,0.2676783736355305,Left Foot,Free Kick,False,0
80,111.8,31.3,11.9553335377981,0.43392708038945194,Left Foot,Open Play,False,1
86,101.0,47.2,20.318464508914055,0.3350557542249991,Right Foot,Open Play,False,0
89,109.4,28.0,16.011246047700343,0.30911813653437525,Right Foot,Open Play,False,0
89,112.2,48.5,11.536463929644992,0.4450909463921743,Head,Open Play,False,0
92,108.1,40.1,11.900420160649796,0.5967253993229286,Right Foot,Penalty,False,1
11,107.5,29.7,16.196913286178944,0.3522249391036157,Left Foot,Open Play,False,1
16,99.4,50.9,23.306007809146546,0.27730095729070653,Right Foot,Open Play,False,0
35,112.8,46.7,9.835141076771603,0.5639314789500706,Head,Open Play,True,0
40,113.1,35.4,8.29276793356718,0.7394700600885238,Right Foot,Open Play,False,0
41,112.4,38.0,7.8587530817553946,0.8551679219374904,Head,Open Play,True,0
53,105.4,34.7,15.532224567009061,0.4385713137569011,Left Foot,Open Play,False,0
57,111.0,31.5,12.379418403139947,0.4402298353031905,Head,Open Play,False,0
58,109.0,53.1,17.1058469536004,0.2807629485147395,Right Foot,Open Play,False,0
59,97.8,43.6,22.48999777678958,0.31876687801508036,Left Foot,Open Play,True,0
59,112.1,25.9,16.16230181626368,0.2292407603390323,Left Foot,Open Play,False,0
61,107.6,34.0,13.775340286178055,0.47530804400520843,Right Foot,Open Play,False,0
62,115.9,45.7,7.021395872616782,0.6962431190166594,Head,Open Play,True,0
62,115.8,41.8,4.569463863518346,1.331998770963253,Right Foot,Open Play,False,1
64,98.1,28.9,24.552392958732156,0.2655506155395607,Right Foot,Open Play,False,0
65,104.8,39.4,15.211837495845138,0.4719131339524105,Left Foot,Open Play,False,1
70,112.4,49.3,12.010412149464308,0.40199284966900284,Left Foot,Open Play,False,0
78,97.6,47.7,23.68649404196409,0.29090670177892186,Left Foot,Open Play,False,0
85,109.6,39.7,10.404326023342412,0.6763105674291476,Head,Open Play,False,0
91,106.6,41.4,13.472935834479438,0.5281429367947673,Right Foot,Open Play,False,0
92,87.5,44.7,32.838087642248595,0.2197833456239239,Left Foot,Open Play,False,0
4,110.7,33.4,11.403946685248926,0.5282509580615686,Head,Open Play,False,0
8,110.6,31.8,12.473972903610145,0.45065801753468104,Right Foot,Open Play,False,0
11,105.2,32.2,16.729614460590533,0.3861297338470377,Left Foot,Open Play,False,0
18,105.4,41.7,14.698639392814556,0.4852959557606493,Left Foot,Open Play,False,1
20,106.1,25.6,20.014244927051337,0.2569855100415529,Right Foot,Open Play,False,0
26,100.9,21.7,26.45184303597766,0.20096720723999162,Left Foot,Open Play,False,0
27,97.6,29.9,24.571731725704648,0.27090771200792485,Right Foot,Open Play,False,0
28,114.0,51.8,13.237824594698328,0.2649899478784514,Right Foot,Open Play,False,0
36,87.4,45.2,33.012118986820575,0.21816517330822827,Right Foot,Free Kick,False,0
39,92.6,27.1,30.284814676665935,0.21838344267714582,Left Foot,Free Kick,False,0
41,100.5,30.8,21.561307938063496,0.3062067627085345,Right Foot,Open Play,False,0
44,113.3,46.6,9.404786015641188,0.5787939266561004,Right Foot,Open Play,False,1
47,107.7,36.5,12.788275880665068,0.5401714668127037,Head,Open Play,False,0
48,104.7,36.8,15.631058825300348,0.4515505761272447,Left Foot,Open Play,False,0
50,110.9,30.1,13.44693273575799,0.378662913055553,Right Foot,Open Play,False,0
50,102.9,31.2,19.23148460207895,0.337706536539521,Right Foot,Open Play,False,1
57,93.2,33.2,27.64923145405673,0.25548271582536525,Right Foot,Open Play,False,0
59,91.9,40.3,28.10160137785745,0.2590112269274724,Left Foot,Free Kick,False,0
61,97.6,57.2,28.241812972966173,0.2061188850187956,Left Foot,Free Kick,False,0
62,117.5,46.6,7.057619995437556,0.46568428394192396,Right Foot,Open Play,False,0
62,113.8,39.5,6.220128616033597,1.0623339013747197,Head,Open Play,True,1
66,99.8,27.1,23.967686580060246,0.2576872443397582,Right Foot,Open Play,False,0
68,93.8,38.8,26.227466518899615,0.2770301489517893,Left Foot,Free Kick,False,0
72,103.1,22.4,24.40020491717232,0.20944858936857647,Right Foot,Open Play,False,0
79,97.2,28.5,25.536052944807267,0.25559290984240174,Right Foot,Open Play,False,0
79,109.7,37.1,10.700467279516346,0.640758989684413,Left Foot,Open Play,False,0
82,95.7,24.7,28.715501040378868,0.21586283450870863,Right Foot,Open Play,False,0
87,95.3,33.0,25.672748197261626,0.2730224439050051,Right Foot,Open Play,False,0
6,100.0,19.0,29.0,0.17508484056724083,Right Foot,Open Play,False,0
7,107.1,38.1,13.039171752837683,0.542545141523477,Head,Open Play,False,0
11,98.1,38.5,21.951309755912067,0.3297082266519726,Right Foot,Open Play,False,1
16,95.8,42.0,24.282503989498284,0.2982421433753193,Left Foot,Open Play,False,0
17,100.4,41.6,19.665197685250963,0.3669070751123613,Left Foot,Open Play,False,0
